timestamp,traffic_phase,run,event_type,dpid,src,dst,eth_src,eth_dst,ip_proto,dst_port,predicted_label,true_label,inference_ms,control_latency_ms,mitigated,pkt_rate,flow_count_per_dpid,distinct_ports,distinct_targets,distinct_sources,ryu_cpu_percent
2026-09-24T14:57:26.034,normal,1,classify,0000000000000005,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,2.0332,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:26.034,normal,1,classify,0000000000000005,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,2.0332,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:26.034,normal,1,classify,0000000000000005,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,2.0332,,0,21.74,3,1,1,1,2.0
2026-09-24T14:57:27.022,normal,1,classify,0000000000000005,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,2.3215,,0,0.0,3,1,1,1,3.0
2026-09-24T14:57:27.022,normal,1,classify,0000000000000005,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,2.3215,,0,0.0,3,1,1,1,3.0
2026-09-24T14:57:27.022,normal,1,classify,0000000000000005,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,2.3215,,0,41.56,3,1,1,1,3.0
2026-09-24T14:57:27.029,normal,1,classify,0000000000000002,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,1.9814,,0,0.0,3,1,1,1,3.0
2026-09-24T14:57:27.029,normal,1,classify,0000000000000002,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,1.9814,,0,0.0,3,1,1,1,3.0
2026-09-24T14:57:27.029,normal,1,classify,0000000000000002,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,1.9814,,0,40.93,3,1,1,1,3.0
2026-09-24T14:57:27.035,normal,1,classify,0000000000000001,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,1.9977,,0,0.0,3,1,1,1,3.0
2026-09-24T14:57:27.035,normal,1,classify,0000000000000001,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,1.9977,,0,0.0,3,1,1,1,3.0
2026-09-24T14:57:27.035,normal,1,classify,0000000000000001,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,1.9977,,0,40.33,3,1,1,1,3.0
2026-09-24T14:57:28.024,normal,1,classify,0000000000000005,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,2.3155,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:28.024,normal,1,classify,0000000000000005,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,2.3155,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:28.024,normal,1,classify,0000000000000005,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,2.3155,,0,43.89,3,1,1,1,2.0
2026-09-24T14:57:28.031,normal,1,classify,0000000000000002,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,2.0122,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:28.031,normal,1,classify,0000000000000002,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,2.0122,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:28.031,normal,1,classify,0000000000000002,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,2.0122,,0,43.9,3,1,1,1,2.0
2026-09-24T14:57:28.038,normal,1,classify,0000000000000001,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,1.9521,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:28.038,normal,1,classify,0000000000000001,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,1.9521,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:28.038,normal,1,classify,0000000000000001,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,1.9521,,0,43.89,3,1,1,1,2.0
2026-09-24T14:57:29.024,normal,1,classify,0000000000000001,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,6.7842,,0,44.68,1,1,1,1,3.0
2026-09-24T14:57:29.030,normal,1,classify,0000000000000002,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,5.8568,,0,44.04,1,1,1,1,3.0
2026-09-24T14:57:29.036,normal,1,classify,0000000000000005,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,5.9518,,0,43.42,1,1,1,1,3.0
2026-09-24T14:57:30.026,normal,1,classify,0000000000000002,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,3.5522,,0,45.28,2,1,1,1,2.0
2026-09-24T14:57:30.026,normal,1,classify,0000000000000002,10.0.0.4,10.0.0.15,00:00:00:00:00:04,00:00:00:00:00:0f,17,41385,normal,normal,3.5522,,0,11.76,2,1,1,1,2.0
2026-09-24T14:57:30.032,normal,1,classify,0000000000000001,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,3.03,,0,44.57,2,1,1,1,2.0
2026-09-24T14:57:30.032,normal,1,classify,0000000000000001,10.0.0.4,10.0.0.15,00:00:00:00:00:04,00:00:00:00:00:0f,17,41385,normal,normal,3.03,,0,11.9,2,1,1,1,2.0
2026-09-24T14:57:30.039,normal,1,classify,0000000000000005,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,2.991,,0,44.89,2,1,1,1,2.0
2026-09-24T14:57:30.039,normal,1,classify,0000000000000005,10.0.0.4,10.0.0.15,00:00:00:00:00:04,00:00:00:00:00:0f,17,41385,normal,normal,2.991,,0,11.9,2,1,1,1,2.0
2026-09-24T14:57:31.027,normal,1,classify,0000000000000005,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,3.4118,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:31.027,normal,1,classify,0000000000000005,10.0.0.4,10.0.0.15,00:00:00:00:00:04,00:00:00:00:00:0f,17,41385,normal,normal,3.4118,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:31.033,normal,1,classify,0000000000000002,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,2.9171,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:31.033,normal,1,classify,0000000000000002,10.0.0.4,10.0.0.15,00:00:00:00:00:04,00:00:00:00:00:0f,17,41385,normal,normal,2.9171,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:31.040,normal,1,classify,0000000000000001,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,2.9374,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:31.040,normal,1,classify,0000000000000001,10.0.0.4,10.0.0.15,00:00:00:00:00:04,00:00:00:00:00:0f,17,41385,normal,normal,2.9374,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:32.029,normal,1,classify,0000000000000001,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,3.4912,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:32.029,normal,1,classify,0000000000000001,10.0.0.4,10.0.0.15,00:00:00:00:00:04,00:00:00:00:00:0f,17,41385,normal,normal,3.4912,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:32.036,normal,1,classify,0000000000000002,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,3.1911,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:32.036,normal,1,classify,0000000000000002,10.0.0.4,10.0.0.15,00:00:00:00:00:04,00:00:00:00:00:0f,17,41385,normal,normal,3.1911,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:32.042,normal,1,classify,0000000000000005,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,3.0383,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:32.042,normal,1,classify,0000000000000005,10.0.0.4,10.0.0.15,00:00:00:00:00:04,00:00:00:00:00:0f,17,41385,normal,normal,3.0383,,0,0.0,2,1,1,1,3.0
2026-09-24T14:57:33.032,normal,1,classify,0000000000000002,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,1.8396,,0,0.0,4,1,1,1,3.0
